Title;Acronym;Description;Access URL;Included in data catalogue;Type;Has representation language;Format;Theme;Licence;Version;Source accessed on
Plant Phenology Ontology;PPO;Plant phenology — the timing of plant life-cycle events, such as flowering or leafing-out — has cascading effects on multiple levels of biological organization, from individuals to ecosystems, and is crucial for understanding the links between climate and biological communities. Plant phenology data are collected and used by many different types of researchers, from plant breeders to ecosystem ecologists. Today, thanks to data digitization and aggregation initiatives, phenology monitoring networks, and the efforts of citizen scientists, more phenologically relevant data is available than ever before. Unfortunately, combining these data in large-scale analyses remains prohibitively difficult, mostly because the individuals and organizations producing the data are using non-standardized terminologies and metrics during data collection and processing. Lack of standardization remains particularly problematic for historical datasets, which are crucial for time-based analyses. The Plant Phenology Ontology (PPO) is a collaborative effort to help solve these problems by developing the standardized terminology, definitions, and relations that are needed for large-scale data integration. The PPO builds on the widely used Plant Ontology (PO) and Phenotype and Trait Ontology (PATO) to promote broad reuse of phenological data. The initial use case for the PPO is integration of citizen science data from the USA National Phenology Network (USA-NPN) and the Pan-European Phenology Network (PEP), but work is also planned for integrating data from herbaria.;https://agroportal.lirmm.fr/ontologies/PPO;AgroPortal, FAIRsharing, BioPortal, Bioregistry, OLS, AberOWL, OBO Foundry, I-ADOPT, Ontobee;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY 3.0;26/10/18;2023-07-05
AnaEE Thesaurus;ANAEETHES;The AnaEE thesaurus aims to provide a controlled vocabulary for the semantic description of the study of continental ecosystems and their biodiversity. It has been developed within the framework of the AnaEE-France infrastructure through an iterative process combining both top down and bottom up approaches: import of concepts from other thesauri and collection of concepts used in the AnaEE data bases and/or modeling platforms.;http://opendata.inra.fr/anaeeThes/;AgroPortal, FAIRsharing, I-ADOPT, BARTOC;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;All;CC BY 4.0;v2.0;2023-06-29
Cowpea Ontology;CO_340;Not specified;https://cropontology.org/term/CO_340:ROOT;AgroPortal, FAIRsharing, OLS;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/08/15;2023-07-07
GEneral Multilingual Environmental Thesaurus;GEMET;The basic idea for the development of GEMET was to use the best of the presently available excellent multilingual thesauri, in order to save time, energy and funds. GEMET was conceived as a “general” thesaurus, aimed to define a common general language, a core of general terminology for the environment. Specific thesauri and descriptor systems (e.g. on Nature Conservation, on Wastes, on Energy, etc.) have been excluded from the first step of development of the thesaurus and have been taken into account only for their structure and upper level terminology.;https://www.eionet.europa.eu/gemet/en/webservices/;AgroPortal, LOD Cloud, Bioregistry, BARTOC, FAIRsharing, ARDC;Thesaurus;SKOS;RDF/XML, CSV, SKOS-Core;All;CC BY 2.5 DK;v4.2.3;2023-07-03
TAXREF-LD;TAXREF-LD;Representation of the TAXREF taxonomic register as linked data. This resource is at the same time an ontology of classes depicting the taxa and a thesaurus (SKOS concept scheme) of the scientific names attached to the taxa;http://taxref.mnhn.fr/lod/taxref-ld;AgroPortal, LOV;Categorisation scheme;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY NC 4.0;15.2;2023-07-06
Phenotype and Trait Ontology;PATO;An ontology of phenotypic qualities (properties, attributes or characteristics).;http://purl.obolibrary.org/obo/pato.owl;AgroPortal, OBO Foundry, AberOWL, BioPortal, Ontobee, OLS, FAIRsharing, BARTOC;Ontology;OWL;RDF/XML, CSV, OWL;Biosphere;CC BY 3.0;18/05/23;2023-07-06
Plant Trait Ontology;PTO;An ontology that describes phenotypic traits in plants. Each trait is a distinguishable feature, characteristic, quality or phenotypic feature of a developing or mature plant.;http://purl.obolibrary.org/obo/to.owl;AgroPortal, OBO Foundry, OLS, BioPortal, Ontobee, AberOWL, FAIRsharing, Bioregistry, I-ADOPT;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY 4.0;01/04/22;2023-07-05
Flora Phenotype Ontology;FLOPO;Traits and phenotypes of flowering plants occurring in digitized Floras;http://purl.obolibrary.org/obo/flopo.owl;AgroPortal, OBO Foundry, OLS, FAIRsharing, Ontobee, I-ADOPT, GFBio Terminology Service, Bioregistry, BioPortal, AberOWL;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;CC0 1.0;v0.9;2023-07-03
Sunflower Ontology;CO_359;Not specified;https://cropontology.org/term/CO_359:ROOT;AgroPortal, OLS, Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;16/12/19;2023-07-07
Wheat Ontology;CO_321;Not specified;https://cropontology.org/term/CO_321:ROOT;AgroPortal, OLS, Bioregistry, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/02/16;2023-07-07
Sweet Potato Ontology;CO_331;Not specified;https://cropontology.org/term/CO_331:ROOT;AgroPortal, OLS, Bioregistry, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/06/16;2023-07-07
Yam Ontology;CO_343;Not specified;https://cropontology.org/term/CO_343:ROOT;AgroPortal, OLS, Bioregistry, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/02/17;2023-07-07
Vitis Ontology;CO_356;Grape Ontology including OIV and bioversity descriptors.;https://cropontology.org/term/CO_356:ROOT;AgroPortal, OLS, Bioregistry, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;29/11/19;2023-07-07
Woody Plant Ontology;CO_357;This ontology lists all variables used for woody plant observations. Terms are collected from various sources (past and ongoing projects at national and international levels).;https://cropontology.org/term/CO_357:ROOT;AgroPortal, OLS, Bioregistry, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/08/17;2023-07-07
Rice Ontology;CO_320;Not specified;https://cropontology.org/term/CO_320:ROOT;AgroPortal, OLS, FAIRsharing;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/03/16;2023-07-07
Sorghum Ontology;CO_324;Not specified;https://cropontology.org/term/CO_324:ROOT;AgroPortal, OLS, FAIRsharing, Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;v1.0;2023-07-07
Soybean Ontology;CO_336;Not specified;https://cropontology.org/term/CO_336:ROOT;AgroPortal, OLS, FAIRsharing, Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/07/15;2023-07-07
Sugar Kelp trait Ontology;CO_360;Not specified;https://cropontology.org/term/CO_360:ROOT;AgroPortal, OLS, FAIRsharing, Bioregistry;Ontology;OWL;RDF/XML, N-Triples, CSV, OWL;Biosphere;CC BY 4.0;01/06/19;2023-07-07
Plant Experimental Conditions Ontology;PECO;The Plant Experimental Conditions Ontology describes the treatments, growing conditions, and/or study types used in plant biology experiments. The subjects of the studies may also include in vitro plant structures (PO:0000004). A plant treatment is the most specific,and may be a component of a plant growing condition, and the plant study type. The broadest classes are the plant study types where the terms can be used to identify the growth study facility. Each growth facility such as field study, growth chamber, green house etc is a environment on its own and it may also involve instances of biotic and abiotic treatments and different growing conditions.;http://browser.planteome.org/amigo/term/PECO:0007359;AgroPortal, OLS, Ontobee, AberOWL, BioPortal, Bioregistry, FAIRsharing, OBO Foundry;Ontology;OWL;OWL, RDF/XML, CSV;Biosphere;CC BY 4.0;Not specified;2023-07-05
Sustainable Development Goals Interface Ontology;SDGIO;The SDGIO aims to provide a semantic bridge between 1) the Sustainable Development Goals, their targets, and indicators and 2) the large array of entities they refer to. It will import classes from numerous exisitng ontologies and map to vocabularies such as GEMET to promote interoperability. New classes will be minted and defined where no external class exists.;http://purl.unep.org/sdg/sdgio.owl;AgroPortal, OLS, Ontobee, Bioregistry, FAIRsharing;Ontology;OWL;OWL, CSV, RDF/XML;All;Not specified;Not specified;2023-07-06
International Chronostratigraphic Chart;ICC;2016-12 edition of the International Chronostratigraphic Chart from the International Commission on Stratigraphy.;https://vocabs.ardc.edu.au/viewById/128;ARDC;Thesaurus;SKOS;Turtle;Geosphere;ODC-By;2016-12-v3;2023-07-06
Earth Science Data Category;Not specified;A classification that facilitates identification of the Fields of Research, or topics, to which a dataset, activity, or entity pertain.;https://vocabs.ardc.edu.au/viewById/550;ARDC;Subject heading;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;Atmosphere-Biosphere-Geosphere;CC BY 4.0;06/09/19;2023-07-07
Life Form GBIF Vocabulary;Not specified;A life form vocabulary targeted at plants and based on Raunkiær's definitions;http://rs.gbif.org/vocabulary/gbif/life_form.xml;ARDC;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-06
Soil Vocabularies implemented through Federation University;SoilFedU;A machine representation of concepts used in the description of soil data and information. Maintained by Federation University, Centre for eResearch and Digital Innovation (CeRDI).;https://vocabs.ardc.edu.au/viewById/635;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere;CC BY 3.0 AU;1.0.0;2023-07-07
Seamap Australia National Benthic Habitat Classification Scheme;Not specified;A national in scope classification scheme for Australian benthic habitats;https://vocabs.ardc.edu.au/viewById/129;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;All;CC BY 3.0 AU;Beta 0.2;2023-07-07
Queensland Environmental Science Data Observed Properties;Not specified;A set of environmental parameters that can be observed, and are of relevance to Queensland Environmental Science Data (QESD).;https://vocabs.gsq.digital/object?uri=https%3A//linked.data.gov.au/def/qld-obsprop;ARDC;Thesaurus;SKOS;Turtle, RDF/XML, JSON-LD, Notation3, N-Triples;All;Not specified;06/06/21;2023-07-06
Life Stage GBIF Vocabulary;Not specified;A simple vocabulary to represent organism life stages across all kingdoms. Includes quite a few alternative terms;http://rs.gbif.org/vocabulary/gbif/life_stage;ARDC;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-06
Biosecurity thesaurus;Not specified;A SKOS vocabulary to support description and retrieval of biosecurity research, projects and data. ;https://vocabs.ardc.edu.au/viewById/646;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Biosphere;CC BY-NC-ND 3.0 AU;01/06/23;2023-07-07
AODN Geographic Extents Vocabulary;AODN-GE;"A vocabulary of geographic regions and their bounding box coordinates. Based on the Australian CSIRO geographic extents keywords.
Bounding boxes are visual approximations. Where possible, the bounding boxes of water bodies were aligned with those in the SeaVoX salt and fresh water body gazetteer (http://vocab.nerc.ac.uk/collection/C19/current/). ";https://vocabs.ardc.edu.au/viewById/61;ARDC;Gazetteer;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere-Marine;CC BY 3.0 AU;4;2023-07-06
Place Type;Not specified;Not specified;https://vocabs.ardc.edu.au/viewById/260;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere;Not specified;1;2023-07-06
Analysis;Not specified;Analysis is used to classify the type of geochemical work being carried out on a sample.;https://vocabs.ardc.edu.au/viewById/189;ARDC;Glossary;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;All;Not specified;1;2023-07-06
Australia's forests and forestry glossary;Not specified;Australia's forests and forestry glossary is a stand-alone publication, developed from the glossary published in Australia's State of the Forests Report 2018. It is intended to serve as a comprehensive and authoritative reference for the interpretation and use of forest and forestry terms at the national level in Australia, by bringing together a common set of terms with consistent definitions. The glossary is suitable for use by the public, educators, students, government employees, and those working in forests, forest management and forestry. Operational forestry terms are generally not included.;https://www.agriculture.gov.au/abares/forestsaustralia/glossary;ARDC;Glossary;NONE;PDF;Biosphere;CC BY 4.0;01/06/20;2023-07-07
ASLS Landform classifiers;ASLS-landform;Classifiers described in chapter 5 Landform, by J.G. Speight, in Australian soil and land survey field handbook (3rd edn). In this technique for describing landforms, the whole land surface is viewed as a mosaic of tiles of odd shapes and sizes. The scheme is intended to produce a record of observations rather than inferences.;https://vocabs.ardc.edu.au/viewById/314;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere;CC BY 3.0 AU;3ed;2023-07-06
ASLS Vegetation classifiers;ASLS-vegetation;Classifiers described in chapter 6 Vegetation, by R.J. Hnatiuk, R. Thackway and J. Walker in Australian Soil and Land Survey Field Handbook (3rd edn);https://vocabs.ardc.edu.au/viewById/636;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Biosphere;CC BY 3.0 AU;3ed;2023-07-06
ASLS Land Surface classifiers;ASLS-land-surface;Classifiers described in chapter 7 Land Surface, by R.C. McDonald, R.F. Isbell and J.G. Speight, in Australian soil and land survey field handbook (3rd edn). Land surface is concerned mainly with surface phenomena affecting land use and soil development that have traditionally been noted at the point of soil observation.;https://vocabs.ardc.edu.au/viewById/315;ARDC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere;CC BY 3.0 AU;3ed;2023-07-06
